Date,UV_level,Lat,Lon
1/01/2023,2.580305556,-37.73,145.1
2/01/2023,2.022090278,-37.73,145.1
3/01/2023,1.293472222,-37.73,145.1
4/01/2023,1.016020833,-37.73,145.1
5/01/2023,2.186125,-37.73,145.1
6/01/2023,2.849465278,-37.73,145.1
7/01/2023,2.890215278,-37.73,145.1
8/01/2023,2.974347222,-37.73,145.1
9/01/2023,2.788534722,-37.73,145.1
10/01/2023,2.214756944,-37.73,145.1
11/01/2023,2.851638889,-37.73,145.1
12/01/2023,2.202118056,-37.73,145.1
13/01/2023,2.128597222,-37.73,145.1
14/01/2023,2.695006944,-37.73,145.1
15/01/2023,1.424229167,-37.73,145.1
16/01/2023,2.289611111,-37.73,145.1
17/01/2023,2.719951389,-37.73,145.1
18/01/2023,0.5004375,-37.73,145.1
19/01/2023,1.949805556,-37.73,145.1
20/01/2023,2.712291667,-37.73,145.1
21/01/2023,2.543618056,-37.73,145.1
22/01/2023,2.333659722,-37.73,145.1
23/01/2023,2.541493056,-37.73,145.1
24/01/2023,1.165083333,-37.73,145.1
25/01/2023,2.382409722,-37.73,145.1
26/01/2023,2.315652778,-37.73,145.1
27/01/2023,2.749541667,-37.73,145.1
28/01/2023,1.749715278,-37.73,145.1
29/01/2023,0.901013889,-37.73,145.1
30/01/2023,1.327694444,-37.73,145.1
31/01/2023,2.39475,-37.73,145.1
1/02/2023,1.551166667,-37.73,145.1
2/02/2023,1.576319444,-37.73,145.1
3/02/2023,1.222256944,-37.73,145.1
4/02/2023,1.124027778,-37.73,145.1
5/02/2023,1.236881944,-37.73,145.1
6/02/2023,1.461215278,-37.73,145.1
7/02/2023,2.180284722,-37.73,145.1
8/02/2023,2.236847222,-37.73,145.1
9/02/2023,2.413416667,-37.73,145.1
10/02/2023,2.282625,-37.73,145.1
11/02/2023,2.449791667,-37.73,145.1
12/02/2023,1.861770833,-37.73,145.1
13/02/2023,1.313430556,-37.73,145.1
14/02/2023,2.4179375,-37.73,145.1
15/02/2023,1.982916667,-37.73,145.1
16/02/2023,2.137097222,-37.73,145.1
17/02/2023,1.907569444,-37.73,145.1
18/02/2023,1.882611111,-37.73,145.1
19/02/2023,2.265104167,-37.73,145.1
20/02/2023,2.214083333,-37.73,145.1
21/02/2023,1.953805556,-37.73,145.1
22/02/2023,2.1125,-37.73,145.1
23/02/2023,2.047395833,-37.73,145.1
