Date,UV_level
5/08/2023,0.405208333
6/08/2023,0.289493056
7/08/2023,0.426909722
8/08/2023,0.5060625
9/08/2023,0.576020833
10/08/2023,0.313444444
11/08/2023,0.389590278
12/08/2023,0.366527778
13/08/2023,0.436888889
14/08/2023,0.378673611
15/08/2023,0.665354167
16/08/2023,0.7050625
17/08/2023,0.2568125
18/08/2023,0.320597222
19/08/2023,0.23975
20/08/2023,0.602868056
21/08/2023,0.574194444
22/08/2023,0.242513889
23/08/2023,0.633277778
24/08/2023,0.737506944
25/08/2023,0.702493056
26/08/2023,0.440229167
27/08/2023,0.594909722
28/08/2023,0.684391939
29/08/2023,0.327201389
30/08/2023,0.343659722
31/08/2023,0.458347222
1/09/2023,0.562701389
2/09/2023,0.841673611
3/09/2023,0.926243056
4/09/2023,0.603375
5/09/2023,0.587875
6/09/2023,0.973819444
7/09/2023,0.736201389
8/09/2023,0.182486111
9/09/2023,0.628215278
10/09/2023,0.601416667
11/09/2023,0.620395833
12/09/2023,1.021013889
13/09/2023,0.932041667
14/09/2023,0.894326389
15/09/2023,1.042944444
16/09/2023,1.150020833
17/09/2023,1.064256944
18/09/2023,0.588951389
19/09/2023,0.629770833
20/09/2023,0.5926875
21/09/2023,1.053923611
22/09/2023,1.195770833
23/09/2023,1.082715278
24/09/2023,1.317145833
25/09/2023,1.146180556
26/09/2023,1.221909722
27/09/2023,0.988791667
28/09/2023,1.292666667
29/09/2023,1.319569444
30/09/2023,1.380979167
1/10/2023,1.313166667
2/10/2023,1.344909722
3/10/2023,0.114444444
4/10/2023,0.319402778
5/10/2023,0.651083333
6/10/2023,1.047277778
7/10/2023,0.802993056
8/10/2023,1.414944444
9/10/2023,1.308041667
10/10/2023,1.259798611
11/10/2023,1.617229167
12/10/2023,0.435076389
13/10/2023,0.666347222
14/10/2023,0.981583333
15/10/2023,0.743173611
16/10/2023,1.2904375
17/10/2023,1.513326389
18/10/2023,1.820173611
19/10/2023,1.868888889
20/10/2023,1.797888889
21/10/2023,0.795680556
22/10/2023,0.430243056
23/10/2023,0.797715278
24/10/2023,1.512986111
25/10/2023,1.483083333
26/10/2023,1.454131944
27/10/2023,1.988368056
28/10/2023,1.349909722
29/10/2023,1.923618056
30/10/2023,1.583833333
31/10/2023,1.216298611
1/11/2023,0.838548611
2/11/2023,1.345895833
3/11/2023,1.286479167
4/11/2023,1.532090278
5/11/2023,1.921451389
6/11/2023,1.779493056
7/11/2023,2.028909722
8/11/2023,1.781256944
9/11/2023,1.473409722
10/11/2023,2.183777778
11/11/2023,1.192284722
12/11/2023,2.168180556
13/11/2023,2.227548611
14/11/2023,0.953138889
15/11/2023,2.082375
16/11/2023,1.665513889
17/11/2023,1.575243056
18/11/2023,2.413111111
19/11/2023,2.223222222
20/11/2023,1.529284722
21/11/2023,1.181236111
22/11/2023,2.233097222
23/11/2023,2.004368056
24/11/2023,1.137666667
25/11/2023,1.717486111
26/11/2023,1.041388889
27/11/2023,1.181326389
28/11/2023,1.670402778
29/11/2023,0.889840278
30/11/2023,1.106597222
1/12/2023,1.699104167
2/12/2023,0.638923611
3/12/2023,2.0338125
4/12/2023,2.532520833
5/12/2023,1.964152778
6/12/2023,2.640868056
7/12/2023,1.911256944
8/12/2023,1.555423611
9/12/2023,0.343416667
10/12/2023,0.720423611
11/12/2023,0.393354167
12/12/2023,2.117215278
13/12/2023,1.333625
14/12/2023,2.050430556
15/12/2023,2.655493056
16/12/2023,1.891541667
17/12/2023,2.813256944
18/12/2023,0.823944444
19/12/2023,0.914118056
20/12/2023,2.616555556
21/12/2023,2.020486111
22/12/2023,2.838333333
23/12/2023,2.843881944
24/12/2023,2.441694444
25/12/2023,0.568569444
26/12/2023,1.556784722
27/12/2023,2.580375
28/12/2023,1.652097222
29/12/2023,2.790541667
30/12/2023,1.922402778
31/12/2023,3.071993056
