Date,UV_level
2023-08-05,0.405208333
2023-08-06,0.289493056
2023-08-07,0.426909722
2023-08-08,0.5060625
2023-08-09,0.576020833
2023-08-10,0.313444444
2023-08-11,0.389590278
2023-08-12,0.366527778
2023-08-13,0.436888889
2023-08-14,0.378673611
2023-08-15,0.665354167
2023-08-16,0.7050625
2023-08-17,0.2568125
2023-08-18,0.320597222
2023-08-19,0.23975
2023-08-20,0.602868056
2023-08-21,0.574194444
2023-08-22,0.242513889
2023-08-23,0.633277778
2023-08-24,0.737506944
2023-08-25,0.702493056
2023-08-26,0.440229167
2023-08-27,0.594909722
2023-08-28,0.684391939
2023-08-29,0.327201389
2023-08-30,0.343659722
2023-08-31,0.458347222
2023-09-01,0.562701389
2023-09-02,0.841673611
2023-09-03,0.926243056
2023-09-04,0.603375
2023-09-05,0.587875
2023-09-06,0.973819444
2023-09-07,0.736201389
2023-09-08,0.182486111
2023-09-09,0.628215278
2023-09-10,0.601416667
2023-09-11,0.620395833
2023-09-12,1.021013889
2023-09-13,0.932041667
2023-09-14,0.894326389
2023-09-15,1.042944444
2023-09-16,1.150020833
2023-09-17,1.064256944
2023-09-18,0.588951389
2023-09-19,0.629770833
2023-09-20,0.5926875
2023-09-21,1.053923611
2023-09-22,1.195770833
2023-09-23,1.082715278
2023-09-24,1.317145833
2023-09-25,1.146180556
2023-09-26,1.221909722
2023-09-27,0.988791667
2023-09-28,1.292666667
2023-09-29,1.319569444
2023-09-30,1.380979167
2023-10-01,1.313166667
2023-10-02,1.344909722
2023-10-03,0.114444444
2023-10-04,0.319402778
2023-10-05,0.651083333
2023-10-06,1.047277778
2023-10-07,0.802993056
2023-10-08,1.414944444
2023-10-09,1.308041667
2023-10-10,1.259798611
2023-10-11,1.617229167
2023-10-12,0.435076389
2023-10-13,0.666347222
2023-10-14,0.981583333
2023-10-15,0.743173611
2023-10-16,1.2904375
2023-10-17,1.513326389
2023-10-18,1.820173611
2023-10-19,1.868888889
2023-10-20,1.797888889
2023-10-21,0.795680556
2023-10-22,0.430243056
2023-10-23,0.797715278
2023-10-24,1.512986111
2023-10-25,1.483083333
2023-10-26,1.454131944
2023-10-27,1.988368056
2023-10-28,1.349909722
2023-10-29,1.923618056
2023-10-30,1.583833333
2023-10-31,1.216298611
2023-11-01,0.838548611
2023-11-02,1.345895833
2023-11-03,1.286479167
2023-11-04,1.532090278
2023-11-05,1.921451389
2023-11-06,1.779493056
2023-11-07,2.028909722
2023-11-08,1.781256944
2023-11-09,1.473409722
2023-11-10,2.183777778
2023-11-11,1.192284722
2023-11-12,2.168180556
2023-11-13,2.227548611
2023-11-14,0.953138889
2023-11-15,2.082375
2023-11-16,1.665513889
2023-11-17,1.575243056
2023-11-18,2.413111111
2023-11-19,2.223222222
2023-11-20,1.529284722
2023-11-21,1.181236111
2023-11-22,2.233097222
2023-11-23,2.004368056
2023-11-24,1.137666667
2023-11-25,1.717486111
2023-11-26,1.041388889
2023-11-27,1.181326389
2023-11-28,1.670402778
2023-11-29,0.889840278
2023-11-30,1.106597222
2023-12-01,1.699104167
2023-12-02,0.638923611
2023-12-03,2.0338125
2023-12-04,2.532520833
2023-12-05,1.964152778
2023-12-06,2.640868056
2023-12-07,1.911256944
2023-12-08,1.555423611
2023-12-09,0.343416667
2023-12-10,0.720423611
2023-12-11,0.393354167
2023-12-12,2.117215278
2023-12-13,1.333625
2023-12-14,2.050430556
2023-12-15,2.655493056
2023-12-16,1.891541667
2023-12-17,2.813256944
2023-12-18,0.823944444
2023-12-19,0.914118056
2023-12-20,2.616555556
2023-12-21,2.020486111
2023-12-22,2.838333333
2023-12-23,2.843881944
2023-12-24,2.441694444
2023-12-25,0.568569444
2023-12-26,1.556784722
2023-12-27,2.580375
2023-12-28,1.652097222
2023-12-29,2.790541667
2023-12-30,1.922402778
2023-12-31,3.071993056
